Kokoro,ココロ,こころ
Chikyuu no Akichi,地球の空き地,ちきゅうのあきち
Chiri Chiri Juso,塵塵呪詛(チリチリジュソ),ちりちりじゅそちりちりじゅそ
Rori Yuukai,ロリ誘拐,ろりゆうかい
Shikabane no Odori,しかばねの踊り,しかばねのおどり
Shounen Kaguya,少年かぐや,しょうねんかぐや
Heimensetsu,平面説,へいめんせつ
Kami no Manimani,神のまにまに,かみのまにまに
Kimi no Irodoru Senritsu,君の彩る旋律,きみのいろどるせんりつ
Inokori Sensei,イノコリ先生,いのこりせんせい
Doesu,どえす,どえす
Lilachorn,リラホルン,りらほるん
Koin Rokkaa Beibii,コインロッカーベイビー,こいんろっかーべいびー
Kimi no Uta,君のうた,きみのうた
Yuu Hanabi,夕花火,ゆうはなび
Hitori Kakurenbo,ひとりかくれんぼ,ひとりかくれんぼ
Konsento Gaaru,コンセントガール,こんせんとがーる
Sayonara Lechenaultia,さよならレシェノルティア,さよなられしぇのるてぃあ
Anata no Utahime,あなたの歌姫,あなたのうたひめ
Aironi,アイロニ,あいろに
Ai Sensaa,アイセンサー,あいせんさー
Doemu,どえむ,どえむ
Sekai Nante Isshun de Kawaru,世界なんて一瞬で変わる,せかいなんていっしゅんでかわる
Jishou Mushoku,自傷無色,じしょうむしょく
Yuukei Iesutadei,夕景イエスタデイ,ゆうけいいえすたでい
Doragon Raijingu,ドラゴンライジング,どらごんらいじんぐ
Tatta Hitotsu no Dangan de,たった一つの弾丸で,たったひとつのだんがんで
E no Umakatta Tomodachi,絵の上手かった友達,えのうまかったともだち
Discommunication,ディスコミュニケーション,でぃすこみゅにけーしょん
Mirai Gurafu,ミライグラフ,みらいぐらふ
Koshitantan,虎視眈々,こしたんたん
Megane No Mukou No Sekai,メガネの向こうの世界,めがねのむこうのせかい
Asutoro Toruupaa,アストロトルーパー,あすとろとるーぱー
Teroru,テロル,てろる
Kotoba Meteo,言葉メテオ,ことばめてお
Gishin'anki,疑心暗鬼,ぎしんあんき
Gozen Sanji no Heddofon,午前3時のヘッドフォン,ごぜんさんじのへっどふぉん
Kyouhansha,共犯者,きょうはんしゃ
Kimi no haato itadaki masu!,キミのハートいただきます!,きみのはーといただきます
Dreamin Chuchu,どりーみんチュチュ,どりーみんちゅちゅ
Yami no Kanata,闇の彼方,やみのかなた
Doushin Shoujo to Otona Sekai,童心少女と大人世界,どうしんしょうじょとおとなせかい
Sekai he Okuru Rekuiemu,世界へ送るレクイエム,せかいへおくるれくいえむ
Hikari,ヒカリ,ひかり
Okochama Sensou,おこちゃま戦争,おこちゃませんそう
Purei,プレイ,ぷれい
Dame da Koitsu,駄目だこいつ,だめだこいつ
Hanbunko.,はんぶんこ。,はんぶんこ
Kimashita waa!,キマシタワー!,きましたわー
Ren'ai Firosofia,恋愛フィロソフィア,れんあいふぃろそふぃあ
13943 Goushitsu,13943号室 ,ごうしつ
Sayonara Suingu Bai,サヨナラスイングバイ,さよならすいんぐばい
Ookami Girl,オオカミガール,おおかみがーる
Wasureru Wake Nai Desho,忘れるわけないでしょ,わすれるわけないでしょ
Suroo Mooshon,すろぉもぉしょん,すろぉもぉしょん
Enjoi Kuruu!,エンジョイクルー!,えんじょいくるー
Kinou Mita Yume,昨日見た夢,きのうみたゆめ
Tasogare no Namida,黄昏の涙,たそがれのなみだ
Guddonaito,グッドナイト,ぐっどないと
Anata no Koto ga Suki na Dake ,あなたのことが好きなだけ,あなたのことがすきなだけ
Zutsuki Choujou Kessen,頭突き頂上決戦,ずつきちょうじょうけっせん
Tuinkuru Sumairu,トゥインクル・スマイル,とぅいんくるすまいる
Tasogareyuku Omoi,黄昏ゆく想い,たそがれゆくおもい
Dere-ka Genshou 100%,デレ化現象100%,でれかげんしょうひゃくぱーせんと
Shiwa,しわ,しわ
Toppingu Furuutsu♪,とっぴんぐフルーツ♪,とっぴんぐふるーつ
Kippuru Indasutorii,キップル・インダストリー,きっぷるいんだすとりー
Erekutorikku Majikku,エレクトリック・マジック,えれくとりっくまじっく
Kokoro Motion,ココロ・モーション,こころもーしょん
Howaito Auto,ホワイトアウト,ほわいとあうと
Hinekure Neji to Ame,ひねくれネジと雨,ひねくれねじとあめ
Ren'ai Saiban,恋愛裁判,れんあいさいばん
Andeddo Enemii,アンデッドエネミー,あんでっどえねみー
Terekakushi Shishunki,テレカクシ思春期,てれかくしししゅんき
Moratorian,モラトリアン,もらとりあん
Yakimochi no Kotae,ヤキモチの答え,やきもちのこたえ
Taitoru Mitei,タイトル未定,たいとるみてい
Inpaafekuto Animaruzu,インパーフェクトアニマルズ,いんぱーふぇくとあにまるず
Kuronofobia,クロノフォビア,くろのふぉびあ
Himitsu no Houkago,秘密の放課後,ひみつのほうかご
Koko ni iteyo...,ここにいてよ・・・,ここにいてよ
Sutorenji Animaru,ストレンジアニマル,すとれんじあにまる
Akutoku no Jajjimento,悪徳のジャッジメント,あくとくのじゃっじめんと
Piero,ピエロ,ぴえろ
Masshuruumu Mazaa,マッシュルーム・マザー,まっしゅるーむまざー
Mushikui Saikederizumu,ムシクイサイケデリズム,むしくいさいけでりずむ
Nijiiro Monster,にじいろモンスター,にじいろもんすたー
Fukigen Warutsu,フキゲンワルツ,ふきげんわるつ
Sutoratosufia,ストラトスフィア,すとらとすふぃあ
Nemurase Hime Kara no Okurimono,眠らせ姫からの贈り物,ねむらせひめからのおくりもの
Mājinaru,マージナル,まーじなる
Kimi Dake wo Matteru,君だけを待ってる,きみだけをまってる
Suteki na Mahou no Nana Kyuu Kyuu,素敵な魔法の799,すてきなまほうの
Inochi no Uta,いのちの歌,いのちのうた
Rabu Risuto Koushinchuu?,ラブリスト更新中?,らぶりすとこうしんちゅう
"""Furetai"" to Itte",「触れたい」と言って,ふれたいといって
Odeko ni Haeta Biwa no Seikaku ga Warui,"""おでこに生えたビワの性格が悪い""",おでこにはえたびわのせいかくがわるい
Deriheru Yondara Kimi ga Kita,デリヘル呼んだら君が来た,でりへるよんだらきみがきた
Zettai Ongaku de Odore,絶対音楽で踊れ,ぜったいおんがくでおどれ
Sensen Fukoku Buraindo,宣戦布告ブラインド,せんせんふこくぶらいんど
Mairuumu Deisuko Naito,マイルームディスコナイト,まいるーむでぃすこないと
Minagoroshi no Majikku,皆殺しのマジック,みなごろしのまじっく
Gaichuu,害虫,がいちゅう
Higo Sai,庇護祭,ひごさい
Hāto♥Bureiku,ハート♥ブレイク,はーとぶれいく
Hashi-Rana-kya!,ハシらなキャ!,はしらなきゃ
Mahou no Te,魔法の手,まほうのて
Byoumei Koi Wazurai,病名恋ワズライ,びょうめいこいわずらい
Kokuhaku Raibaru Sengen,告白ライバル宣言,こくはくらいばるせんげん
Kin'youbi no Ohayou,金曜日のおはよう,きんようびのおはよう
Hatsukoi no Ehon,初恋の絵本,はつこいのえほん
Sakurairo Taimu Kapuseru,桜色タイムカプセル,さくらいろたいむかぷせる
Heisei Sayonara Baibai,ヘイセイサヨナラバイバイ,へいせいさよならばいばい
Ren'ai Shikkan,恋愛疾患,れんあいしっかん
Burenai Ai de,ぶれないアイで,ぶれないあいで
Mottainai to Rando,もったいないとらんど,もったいないとらんど
Hajimete no Chuu,はじめてのチュウ,はじめてのちゅう
Soba ni Ite,そばにいて,そばにいて
Bungakusha no Koibumi,文学者の恋文,ぶんがくしゃのこいぶみ
Watashi no Sekai,私の世界,わたしのせかい
Rabu Dooru,ラブドール,らぶどーる
Eto Setora,エト・セトラ,えとせとら
Sakura Zensen Ijou Nashi,桜前線異常ナシ,さくらぜんせんいじょうなし
Ikiryou,生霊,いきりょう
Kirai na Hito,きらいな人,きらいなひと
Waaruzu Endo Tansuhooru,ワールズエンドタンスホール,わーるずえんどたんすほーる
Yuragi,ユラギ,ゆらぎ
Nakigoto,ナキゴト,なきごと
Hibikase,ヒビカセ,ひびかせ
Yume no Chikara,ユメノチカラ,ゆめのちから
Yubikiri,指切り,ゆびきり
Hai wa Hai ni,ハイハハイニ,はいははいに
Isshu no Pokemon Ieru no ka!,イッシュのポケモン 言えるのか!,いっしゅのぽけもんいえるのか
Buraddi Gurabiti,ブラッディ グラビティ,ぶらっでぃぐらびてぃ
Kitsune no Yomeiri,狐の嫁入り,きつねのよめいり
Purezentii,プレゼンティー,ぷれぜんてぃー
Taiyou to Tsuki no Rondo,太陽と月のロンド,たいようとつきのろんど
Youkai Taisou Daiichi,ようかい体操第一,ようかいたいそうだいいち
Haato a ra moodo,ハートアラモード,はーとあらもーど
Tsurareta Otoko to Yume Onna,吊られた男と夢女,つられたおとことゆめ
Shura no Niwa,修羅ノ庭,しゅらのにわ
Tetorodotokisaiza Ni Gou,テトロドトキサイザ2号,てとろどときさいざにごう
Monotoon Korekutaa,モノトーンコレクター,ものとーんこれくたー
Sayonara Ryou-Kataomoi,さよなら両片想,さよならりょうかたおもい
Yoru no Yume,よるのゆめ,よるのゆめ
Rozetta,ロゼッタ,ろぜった
Ookina Sekai,大きなセカイ,おおきなせかい
Sekai no Hazama,セカイの狭間,せかいのはざま
Keppekishou,ケッペキショウ,けっぺきしょう
Bungaku Shounen no Yuu Utsu,文学少年の憂鬱,ぶんがくしょうねんのゆううつ
Nantonaku Ittemitai Kotoba,何となく言ってみたい言葉,なんとなくいってみたいことば
Orenji,オレンジ,おれんじ
Masa ni... Masa ni... Megami-sama!!,まさに・・・まさに・・・女神サマ!!,まさにまさにめがみさま
Umiyuri Kaiteitan,ウミユリ海底譚,うみゆりかいていたん
Toosenbo,とおせんぼ,とおせんぼ
Sakasama Uchuu,さかさまうちゅう,さかさまうちゅう
Shounen to Mahou no Robotto,少年と魔法のロボット,しょうねんとまほうのろぼっと
Hoshi ni Negai ga Todoku nara,星に願いが届くなら,ほしにねがいがとどくなら
Sore ga Anata no Shiawase to Shite mo,それがあなたの幸せとしても,それがあなたのしあわせとしても
Bouken no Sho ga Kiemashita!,ぼうけんのしょがきえました!,ぼうけんのしょがきえました
Aru Bakeneko no Koi Monogatari,或る化け猫の恋物語,あるるばけねこのこいものがたり
Niji,虹,にじ
Majikaru Shinmetori,マジカルシンメトリ,まじかるしんめとり
Katorea,カトレア,かとれあ
Chou to Hana to Kumo,蝶と花と蜘蛛,ちょうとはなとくも
Pazuru,パズル,ぱずる
Suisei,彗星,すいせい
Shokora to Inseki,ショコラと隕石,しょこらといんせき
Kyandi Adikuto Furu Koosu,キャンディアディクトフルコォス,きゃんでぃあでぃくとふるこぉす
Jubunairu,ジュブナイル,じゅぶないる
Sayonara·Gubbai,サヨナラ・グッバイ,さよならぐっばい
Invijivuru Kokupitto,インヴィジヴルコクピット,いんゔぃじゔるこくぴっと
Burakku Goorudo,ブラックゴールド,ぶらっくごーるど
Kakumei,革命,かくめい
Kaze ga Fukeba Jinrui ga Owaru,風が吹けば人類が終わる,かぜがふけばじんるいがおわる
Ame ga Futte.,雨が降って。,あめがふって
Kaanibaru,カーニバル,かーにばる
Kicchin de Kappa ga Tanishi Yudeteru,キッチンでカッパがタニシ茹でてる,きっちんでかっぱがたにしゆでてる
Suriipu・Sukai・Wouku,スリープ・スカイ・ウォーク,すりーぷすかいうぉーく
Disutopia・Jipangu,ディストピア・ジパング,でぃすとぴあじぱんぐ
Kanjou Dorobou,感情泥棒,かんじょうどろぼう
Matsuribayashi,祭囃子,まつりばやし
Kagerou Nikki,蜻蛉日記,かげろうにっき
Doutoku no Jukai,道徳の樹海,どうとくのじゅかい
Sekai no Hajimari,世界のはじまり,せかいのはじまり
Babiron,バビロン,ばびろん
Kakurenbo,かくれんぼ,かくれんぼ
Genjitsu,幻日,げんじつ
Tasukete Doraemon,たすけてドラえもん,たすけてどらえもん
Kono Uta ga Owatte mo,この歌が終わっても,このうたがおわっても
Kurou Gaaru,クロウガール,くろうがーる
Maigo Raifu,迷子ライフ,まいごらいふ
Yotsuba no Kuroobaa,よつばのクローバー,よつばのくろーばー
Juusan-banme no Mokushiroku,十三番目の黙示録,じゅうさんばんめのもくしろく
Gachapocha,がちゃぽちゃ,がちゃぽちゃ
Romaji: Sadisutikku Rabu,サディスティック・ラブ,さでぃすてぃっくらぶ
PojiPoji,ポジポジ,ぽじぽじ
Bungaku Shoujo Insein,文学少女インセイン,ぶんがくしょうじょいんせいん
Haru! Sakura! Ninja!,春!桜!ニンジャ!,はるさくらにんじゃ
Suupaa Hiiroo,スーパーヒーロー,すーぱーひーろー
Sakusesu☆Rabu☆Misshon,さくせす☆ラブ☆みっしょん,さくせすらぶみっしょん
Kuriya Sukai Kikan,クリヤスカイ機関,くりやすかいきかん
Miito Miitsu Gaaru,ミートミーツガール,みーとみーつがーる
Aoi Konbini de Aimashou,青いコンビニであいましょう,あおいこんびにであいましょう
Mitsuboshi Reshipi,三ッ星レシピ,みつぼしれしぴ
Karafuru Firutaa,カラフルフィルター,からふるふぃるたー
Konbini to Anata no Soujisei ni Kansuru Arekore,コンビニとあなたの相似性に関するアレコレ,こんびにとあなたのそうじせいにかんするあれこれ
Konbini Yotte Kaerouyo,コンビニよって帰ろうよ,こんびによってかえろうよ
Sutoraipu no Santakurousu,ストライプのサンタクロース,すとらいぷのさんたくろーす
Haremachi Yozora,ハレマチ夜空,はれまちよぞら
Kimi no Sei dayo.,きみのせいだよ。,きみのせいだよ
Chekku en Cheisu,チェックエンチェイス,ちぇっくえんちぇいす
Naifu,ナイフ,ないふ
Purimavueera,プリマヴェーラ,ぷりまゔぇーら
Yumemidori,夢魅鳥,ゆめみどり
Suzume no Namida,スズメノナミダ,すずめのなみだ
Kimi no Taion,君の体温,きみのたいおん
Koneko no Paya Paya,子猫のパヤパヤ,こねこのぱやぱや
Betsuni-kun to Kirai-chan,ベツニ君とキライちゃん,べつにくんときらいちゃん
Rokkuya-san no Gudaguda Mainichi,ロック屋さんのぐだぐだ毎日,ろっくやさんのぐだぐだまいにち
Kokyuu,呼吸,こきゅう
Yuugure Sensei,夕暮れ先生,ゆうぐれせんせい
Toumei Suisai,透明水彩,とうめいすいさい
Zutto Kono Mama,ずっとこのまま,ずっとこのまま
Futari de.,ふたりで。,ふたりで
Yakusoku,約束,やくそく
Yoake to Hotaru,夜明けと蛍,よあけとほたる
Ji Owata\(^0^)/,ジオワタ\(^0^)/,じおわた
Nakimushi Kareshi,泣キ虫カレシ,なきむしかれし
Nanatsu no Kane,七つの鐘,ななつのかね
Puropaganda,プロパガンダ,ぷろぱがんだ
Isshinfuran,一心不乱,いっしんふらん
Hatsukoi Gakuen・Jun'ai Ka,初恋学園・純愛科,はつこいがくえんじゅんあいか
Kyouki Ranbu,狂喜乱舞,きょうきらんぶ
Iya Iya Seijin,イヤイヤ星人,いやいやせいじん
Gekioko Punpun Maru,激おこぷんぷん丸,げきおこぷんぷんまる
Naitomea☆Paatii Naito,ナイトメア☆パーティーナイト,ないとめあぱーてぃーないと
Doushite Kou Natta,どうしてこうなった,どうしてこうなった
Asutoronootsu,アストロノーツ,あすとろのーつ
Sora no Sakana,そらのサカナ,そらのさかな
Sore ga Bokura no JASUTISU,それが僕らのジャスティス,それがぼくらのじゃすてぃす
Yakubyougami,ヤクビョウガミ,やくびょうがみ
Shuuen no Shiori,終焉ノ栞,しゅうえんのしおり
Aru Futekigousha no Dokuhaku,或る不適合者の独白,あるるふてきごうしゃのどくはく
Usotsuki Beti,嘘つきベティ,うそつきべてぃ
Doubutsu Uranai,どうぶつ占い,どうぶつうらない
Rorikon wa Dame da yo~,ろりこんはだめだよー,ろりこんはだめだよー
Harou Sutorobo,ハローストロボ,はろーすとろぼ
Garakuta no Erejī,ガラクタのエレジー,がらくたのえれじー
Toraianguru Haato,トライアングル・ハート,とらいあんぐるはーと
Sutorobo Raito,ストロボライト,すとろぼらいと
Uta o Utau Hito,うたをうたうひと,うたをうたうひと
Reiyaa Rabu,れいやー・らぶ,れいやーらぶ
Inobeeshon,イノベーション,いのべーしょん
Sainou Sanpuraa,サイノウサンプラー,さいのうさんぷらー
"Ameku, Yukinaku.","""雨く、雪なく。""",あめくゆきなく
Hoshi no Uta,星の唄,ほしのうた
Tsugihagi Staccato,ツギハギスタッカート,つぎはぎすたっかーと
Kureijii・Kuraun,クレイヂィ・クラウン,くれいぢぃくらうん
Boku wa Haineko,僕は灰猫,ぼくははいねこ
Hi Rai Shin,飛雷震,ひらいしん
Ai×Ai Hoissuru,愛×愛ホイッスル,あいかけるあいほいっする
Aikagi Ganman to Aikagi Ninja,合鍵ガンマンと合鍵忍者,あいかぎがんまんとあいかぎにんじゃ
Yume no Tonneru,夢のトンネル,ゆめのとんねる
Masutaa Obu Papettsu,マスターオブパペッツ,ますたーおぶぱぺっつ
Tsuki Mukou Made no Toraberu,月向うまでのトラベル,つきむこうまでのとらべる
Jugemu Shiikensaa,ジュゲムシーケンサー,じゅげむしーけんさー
Sunoman,スノーマン,すのーまん
Naito ando Dei,ナイトアンドデイ,ないとあんどでい
Repurikanto,レプリカント,れぷりかんと
"GUBBAI, ROKKU N ROORU",グッバイ、ロックンロール,ぐっばいろっくんろーる
Erekutorikku・Sutaa,エレクトリック・スター,えれくとりっくすたー
Yuki Usagi,ゆきうさぎ,ゆきうさぎ
Manatsu no Juusei,真夏の銃声,まなつのじゅうせい
Shoujo Misui,少女未遂,しょうじょみすい
Sora to Tsunagaru Made,空と繋がるまで,そらとつながるまで
Sayonara Porarisu,さよならポラリス,さよならぽらりす
Torikorooru Ea Rain,トリコロール・エア・ライン,とりころーるえあらいん
Suteppu Fowādo,ステップフォワード,すてっぷふぉわーど
Sakura no Kisetsu,桜の季節,さくらのきせつ
Mitsugetsu An Du Torowa,蜜月アン・ドゥ・トロワ,みつげつあんどぅとろわ
Kankoku no Minasan Shinde Kudasai,韓国の皆さん 死んでください,かんこくのみなさんしんでください
Ai,愛,あい
Sora No Kanata,ソラノカナタ,そらのかなた
Bokumetsu na no desu!,撲滅なのです!,ぼくめつなのです
Kuppuku to Taida,屈服と怠惰,くっぷくとたいだ
Nankai Ren'ai,ナンカイレンアイ,なんかいれんあい
Kimi ni,キミに,きみに
Bureinzu Gaisuto,ブレインズガイスト,ぶれいんずがいすと
Inishie ni Fuuin Sareshi Kyuukyoku Kuro Mahou (Butsuri),古に封印されし究極黒魔法(物理),いにしえにふういんされしきゅうきょくくろまほうぶつり
Raia,ライア,らいあ
Haato Tu Haato,ハートトゥハート,はーととぅはーと
Piero Purei,ピエロプレイ ,ぴえろぷれい
Nibyoukan,ニビョウカン,にびょうかん
Okizari Tsukiyo Shou,置き去り月夜抄,おきざりつきよしょう
Morumotto to Youhei,モルモットと傭兵,もるもっととようへい
Shugaabain,シュガーバイン,しゅがーばいん
Enzerufisshu,エンゼルフィッシュ,えんぜるふぃっしゅ
Sayoko,小夜子,さよこ
Kono Shiawase wo,このしあわせを,このしあわせを
Bai Bai Sūpāsutā,ばいばいスーパースター,ばいばいすーぱーすたー
Ame ga Fureba,あめがふれば,あめがふれば
Kimi wo Wasurenai,きみをわすれない,きみをわすれない
Kimi no Koe,キミノコエ,きみのこえ
Haiiro no Rakuen,灰色の楽園,はいいろのらくえん
Appaa Chuun,アッパーチューン,あっぱーちゅーん
Minna de! Yattaa!!,みんなで!やったー!!,みんなでやったー
Nemuri Hime,ネムリヒメ,ねむりひめ
Jun'ai Risutoreinto,純愛リストレイント,じゅんあいりすとれいんと
Hoshi Hime,星姫,ほしひめ
Dandan Takaku Naru,だんだん高くなる,だんだんたかくなる
Onigumo to Kitsune no Shishi to,鬼蜘蛛ト狐ノ獅子ト,おにぐもときつねのししと
Hajimari no Sayonara,ハジマリノサヨナラ,はじまりのさよなら
Kimi ga Mata Utaitaku Naru Koro ni.,キミがまた歌いたくなる頃に。,きみがまたうたいたくなるころに
Nyuusu 39,ニュース39,にゅーす
Asu no Hikari,アスノヒカリ,あすのひかり
Kyousou Hyupunoshisu,狂躁ヒュプノシス,きょうそうひゅぷのしす
Chokoreito no Namida,チョコレイトの涙,ちょこれいとのなみだ
Kotoba no Iranai Yakusoku,"言葉のいらない約束""",ことばのいらないやくそく
Manatsu no Senkou,真夏の閃光,まなつのせんこう
Hoshi no Kakera,星のかけら,ほしのかけら
Mahou no Kotoba,魔法の言葉,まほうのことば
Suuji Asobi Kuizu,数字遊びクイズ,すうじあそびくいず
Okotowari Shimasu,お断りします,おことわりします
Shimiyuku,シミユク,しみゆく
Otona Paati,オトナ・パーティ,おとなぱーてぃ
Taitoru,タイトル,たいとる
Koudai na Ginga,広大な銀河,こうだいなぎんが
Itachigokko ∞ Lovers,いたちごっこ ∞ らゔぁーず,いたちごっこらゔぁーず
Rin-tan no tēma,リンたんのテーマ,りんたんのてーま
Ren-tan no tēma,レンたんのテーマ,れんたんのてーま
Miku-tan no Teema,ミクたんのテーマ,みくたんのてーま
"Itsuka, Shinderera ga",いつか、シンデレラが,いつかしんでれらが
Hakoniwa no Yume,箱庭の夢,はこにわのゆめ
Pantsu no Uta,ぱんつのうた,ぱんつのうた
Tengoku to Jigoku,てんごくとじごく,てんごくとじごく
Toriatama,トリアタマ,とりあたま
Shiawase no Katachi,幸せのかたち,しあわせのかたち
Haisensu Nansensu,ハイセンスナンセンス,はいせんすなんせんす
Onegai Sekai,オネガイセカイ,おねがいせかい
Mahou no Kagami,魔法の鏡,まほうのかがみ
Peropero,ぺろぺろ,ぺろぺろ
Teito Gunjou,帝都群青,ていとぐんじょう
Anderutse,アンデルツェ,あんでるつぇ
Garakuta Pareedo,ガラクタ・パレード,がらくたぱれーど
Puraguauto,プラグアウト,ぷらぐあうと
Omuraisu ga Taberarenai,オムライスが食べられない,おむらいすがたべられない
Gobanme no Piero,五番目のピエロ,ごばんめのぴえろ
Tsubaki Oni,椿鬼,つばきおに
Mahou Shoujo Koufukuron,魔法少女幸福論,まほうしょうじょこうふくろん
Erekutoronikku・Jenosaido,エレクトロニック・ジェノサイド,えれくとろにっくじぇのさいど
Makeinu Shijou Shugi,負け犬至上主義,まけいぬしじょうしゅぎ
Noboribou,のぼり棒,のぼりぼう
Kotoba Asobi,言葉遊び,ことばあそび
Sayonara Dake ga Jinsei da,さよならだけが人生だ,さよならだけがじんせいだ
Kokoro Kizu,ココロキズ,こころきず
KURISUMASU ROOZU,"""クリスマスローズ""",くりすますろーず
Shokuetsu Parasaito,"食悦パラサイト'''"" ",しょくえつぱらさいと
Debu no Subete,デブのすべて,でぶのすべて
Ton Ton Mae!,とんとんまーえ!,とんとんまーえ
Maindo Burando,マインドブランド,まいんどぶらんど
Garakuta to Kagayakanai Hoshi,ガラクタと輝かない星,がらくたとかがやかないほし
Moukyoujo,孟姜女,もうきょうじょ
Mangetsu no Jikkenshitsu,満月の実験室,まんげつのじっけんしつ
Umitagari,うみたがり,うみたがり
Doushite-chan no Teema,どうしてちゃんのテーマ,どうしてちゃんのてーま
Utautai no Uta,うたうたいのうた,うたうたいのうた
Tsumetai Te,冷たい手,つめたいて
Meryuu,メリュー,めりゅー
732 Nichi,732日,にち
Mirai no Uta,未来の歌,みらいのうた
Watashi no Nanatsu no Oiwai ni,私ノ七ツノオ祝イニ,わたしのななつのおいわいに
Barerii Ko,バレリーコ,ばれりーこ
Futariboshi,フタリボシ,ふたりぼし
Kamigami no Shimon,神々の指紋,かみがみのしもん
Sandee Rabu Jetto Juusu,サンデーラブジェットジュース,さんでーらぶじぇっとじゅーす
Kuiin Obu Haato,クイーンオブハート ,くいーんおぶはーと
Ame,雨,あめ
Suiito Dekora Aisu Kuriimu Horikku,スイートデコラアイスクリームホリック,すいーとでこらあいすくりーむほりっく
Rin Rin Rintte Shitekurin♪,リンリンリンってしてくりん♪,りんりんりんってしてくりん
Yuugure Nosutarujikku,夕暮れノスタルジック,ゆうぐれのすたるじっく
Tsuukasei Majikku Pen,通過性マジックペン,つうかせいまじっくぺん
Kotonoha Yuugi,言ノ葉遊戯,ことのはゆうぎ
Kikoete Imasu ka,聴こえていますか,きこえていますか
Hoshi wo Tsukuru Hito,ほしをつくるひと,ほしをつくるひと
Peyangu Dabaa,ペヤングだばあ,ぺやんぐだばあ
Juunanasai no Shinigami,十七歳の死神,じゅうななさいのしにがみ
Kuusou Shoumonai Hibi,空想しょうもない日々,くうそうしょうもないひび
Aka Pen Onegai Shimasu,赤ペンおねがいします,あかぺんおねがいします
Ai to Uragirisu,愛とウラギリス,あいとうらぎりす
Pinku Muun,ピンクムーン,ぴんくむーん
Hajimemashite Chikyuujin-san,はじめまして地球人さん,はじめましてちきゅうじんさん
